text_column,C,f1_weighted,f1_macro,fold_f1_std,seconds
ctx_k0,0.05,0.7353254980523776,0.5862956754319434,0.0037615805232105275,44.15593519999675
ctx_k0,0.0847,0.7338244068254426,0.5822452901441992,0.005518755433287453,53.72172120000323
ctx_k2,0.0847,0.7294094908904905,0.5731955789701667,0.009228807811406555,81.49012010000297
ctx_k0,0.15,0.728848779078135,0.5747581375152097,0.007872635032259217,72.01237250000122
ctx_k0,0.03,0.7283365537282117,0.5743396566591241,0.005586635377435287,36.64364360000036
ctx_k1,0.0847,0.7273618243711768,0.5716574353824081,0.004311836858464202,69.53474039999855
ctx_k2,0.15,0.7268909191062015,0.5675959750174093,0.006434058310695761,103.99831089999498
ctx_k2,0.03,0.7262406245076748,0.5683164184807827,0.006184259354081599,57.47235660000297
ctx_k1,0.03,0.7259819993742613,0.57004610476104,0.00537816716751866,48.33770260000165
ctx_k1,0.05,0.7255129990814603,0.5686099702349426,0.006562825396964206,57.092542900005355
ctx_k2,0.05,0.72534874314618,0.5675905884157001,0.00744611559464938,67.48620560000563
ctx_k0,0.3,0.7235387660770176,0.5647442562790145,0.008586449245880846,86.78452970000217
ctx_k1,0.15,0.7231429569156285,0.5630922375547737,0.0037469406883687962,87.49267710000277
ctx_k2,0.3,0.7218769136291024,0.5593230014482681,0.005860039374648849,143.46805889999814
ctx_k1,0.3,0.7196302070201821,0.5550209061709661,0.0055640552780419844,118.88770579999982
