,precision,recall,f1-score,support
positive,0.429097605893186,0.37763371150729336,0.4017241379310345,617.0
negative,0.5275397796817626,0.5149342891278376,0.5211608222490931,837.0
neutral,0.8259760142893595,0.8462745098039216,0.8360020661157025,3825.0
accuracy,0.7389657132032582,0.7389657132032582,0.7389657132032582,0.7389657132032582
macro avg,0.594204466621436,0.5796141701463507,0.5862956754319434,5279.0
weighted avg,0.7322716940872384,0.7389657132032582,0.7353254980523776,5279.0
