,base_valid_f1_weighted,train_accuracy,train_f1_weighted,train_f1_macro,train_recall_macro,train_roc_auc_ovr,valid_accuracy,valid_f1_weighted,valid_f1_macro,valid_recall_macro,valid_roc_auc_ovr,fold_f1_std,seconds
LinearSVC,0.7251021491706955,0.9115363691975402,0.9123226482897883,0.8721017517228409,0.8844503383926205,0.9671711112746987,0.7315779503693881,0.7273618243711768,0.5716574353824081,0.5647253129228819,0.7835212038999769,0.004311836858464202,43.4483865000002
XGBoost,0.7077027985674829,0.9970638669730697,0.9970689661480792,0.9958479078049767,0.9986492374727669,0.9999954117584313,0.7391551430195112,0.7147569638865802,0.5242209851567047,0.5011573756565592,0.7827481174974937,0.009379082000819343,286.1441455999993
LogisticRegression,0.6965370287479191,0.9955957724294807,0.9956069272398302,0.9936530733595811,0.9979738562091504,0.9999799041412858,0.709414661867778,0.7092592979695027,0.5526891587770126,0.5528317249843847,0.7598701533555353,0.00568996824536523,73.47972459999801
